py5_name,java_name,decorator,type,category,subcategory,implementation,comments
constrain,constrain,,static method,math,calculation,PYTHON,implemented in mixin file math.py
degrees,degrees,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
radians,radians,,static method,math,trigonometry,PYTHON,implemented in mixin file math.py
dist,dist,,static method,math,calculation,PYTHON,implemented in mixin file math.py
lerp,lerp,,static method,math,calculation,PYTHON,implemented in mixin file math.py
norm,norm,,static method,math,calculation,PYTHON,implemented in mixin file math.py
random_gaussian,randomGaussian,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_int,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_choice,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_sample,,,method,math,random,PYTHON,implementation uses numpy for performance reasons
random_seed,randomSeed,,method,math,random,PYTHON,implementation uses numpy for performance reasons
choice,choice,,method,math,random,SKIP,new method but functionality already provided by random_int
np_random,,,dynamic variable,math,random,PYTHON,make numpy random number generator available to users
noise_array,noiseArray,,method,math,random,SKIP,vectorized noise for better performance
noise,noise,,method,math,random,PYTHON,calls java but uses noiseArray when appropriate to support vectorization and better performance
noise_detail,noiseDetail,,method,math,random,JAVA,
noise_seed,noiseSeed,,method,math,random,JAVA,
os_noise,osNoise,,method,math,random,PYTHON,calls Java OpenSimplex2S
os_noise_array,osNoiseArray,,method,math,random,SKIP,vectorized noise for better performance
os_noise_seed,osNoiseSeed,,method,math,random,JAVA,
load_image,loadImage,,method,image,loading_displaying,PYTHON,
request_image,requestImage,,method,image,loading_displaying,PYTHON,
convert_image,,,method,image,loading_displaying,PYTHON,
convert_cached_image,,,method,image,loading_displaying,PYTHON,
create_image_from_numpy,,,method,image,loading_displaying,PYTHON,
load_xml,loadXML,,method,input,files,SKIP,methods that should be re-implemented by me in Python
parse_xml,parseXML,,method,input,files,SKIP,methods that should be re-implemented by me in Python
save_xml,saveXML,,method,output,files,SKIP,methods that should be re-implemented by me in Python
parse_json_object,parseJSONObject,,method,input,files,SKIP,"use load_json, save_json, parse_json"
load_json_object,loadJSONObject,,method,input,files,SKIP,"use load_json, save_json, parse_json"
save_json_object,saveJSONObject,,method,output,files,SKIP,"use load_json, save_json, parse_json"
parse_json_array,parseJSONArray,,method,input,files,SKIP,"use load_json, save_json, parse_json"
load_json_array,loadJSONArray,,method,input,files,SKIP,"use load_json, save_json, parse_json"
save_json_array,saveJSONArray,,method,output,files,SKIP,"use load_json, save_json, parse_json"
load_table,loadTable,,method,input,files,SKIP,methods that should be re-implemented by me in Python
save_table,saveTable,,method,output,files,SKIP,methods that should be re-implemented by me in Python
load_font,loadFont,@_load_py5font,method,typography,loading_displaying,JAVA,
create_font,createFont,@_load_py5font,method,typography,loading_displaying,JAVA,
select_input,selectInput,,method,input,files,PYTHON,implemented in Python because of the callback
select_output,selectOutput,,method,output,files,PYTHON,implemented in Python because of the callback
select_folder,selectFolder,,method,input,files,PYTHON,implemented in Python because of the callback
py5_select_folder,py5SelectFolder,,method,,,SKIP,used by select_folder
py5_select_input,py5SelectInput,,method,,,SKIP,used by select_input
py5_select_output,py5SelectOutput,,method,,,SKIP,used by select_output
select_callback,selectCallback,,static method,,,SKIP,
list_paths,listPaths,,method,,,SKIP,user should use python instead
check_extension,checkExtension,,static method,,,SKIP,user should use python instead
create_reader,createReader,,method,input,files,SKIP,user should use python instead
create_writer,createWriter,,method,output,files,SKIP,user should use python instead
create_input,createInput,,method,input,files,SKIP,user should use python instead
create_input_raw,createInputRaw,,method,,,SKIP,user should use python instead
load_bytes,loadBytes,,method,input,files,PYTHON,
load_strings,loadStrings,,method,input,files,PYTHON,
load_pickle,loadPickle,,method,input,files,PYTHON,
create_output,createOutput,,method,output,files,SKIP,user should use python instead
save_stream,saveStream,,method,output,files,SKIP,user should use python instead
save_bytes,saveBytes,,method,output,files,PYTHON,
save_strings,saveStrings,,method,output,files,PYTHON,
save_pickle,savePickle,,method,output,files,PYTHON,
sketch_file,sketchFile,,method,,,SKIP,user should use python instead
save_path,savePath,,method,,,SKIP,user should use python instead
save_file,saveFile,,method,,,SKIP,user should use python instead
desktop_file,desktopFile,,static method,,,SKIP,user should use python instead
desktop_path,desktopPath,,static method,,,SKIP,user should use python instead
data_path,dataPath,,method,,,SKIP,user should use python instead
data_file,dataFile,,method,,,SKIP,user should use python instead
create_path,createPath,,method,,,SKIP,user should use python instead
url_encode,urlEncode,,static method,,,SKIP,user should use python instead
url_decode,urlDecode,,static method,,,SKIP,user should use python instead
array_copy,arrayCopy,,method,data,array_functions,SKIP,user should use python instead
shorten,shorten,,method,data,array_functions,SKIP,user should use python instead
splice,splice,,method,data,array_functions,SKIP,user should use python instead
subset,subset,,method,data,array_functions,SKIP,user should use python instead
split_tokens,splitTokens,,method,data,string_functions,SKIP,user should use python instead
match_all,matchAll,,static method,data,string_functions,SKIP,user should use python instead
parse_char,parseChar,,method,,,SKIP,user should use python instead
nfc,nfc,,method,data,string_functions,SKIP,user should use python instead
nfs,nfs,,method,data,string_functions,SKIP,user should use python instead
nfp,nfp,,method,data,string_functions,SKIP,user should use python instead
hex,hex,,method,data,conversion,SKIP,user should use python instead
unhex,unhex,,static method,data,conversion,SKIP,user should use python instead
binary,binary,,method,data,conversion,SKIP,user should use python instead
unbinary,unbinary,,static method,data,conversion,SKIP,user should use python instead
color,color,,method,color,creating_reading,PYTHON,
lerp_color,lerpColor,"@_return_color;@_convert_hex_color(indices=[0, 1])",method,color,creating_reading,JAVA,
blend_color,blendColor,,static method,color,creating_reading,SKIP,methods that are not part of the processing framework
frame_moved,frameMoved,,method,,,SKIP,methods that are not part of the processing framework
frame_resized,frameResized,,method,,,SKIP,methods that are not part of the processing framework
run_sketch,runSketch,,static method,structure,,PYTHON,my implementation of run_sketch calls Processing's runSketch method after doing some setup stuff
hide_menu_bar,hideMenuBar,,static method,,,SKIP,public methods that shouldn't be available to users
begin_record,beginRecord,@_context_wrapper('end_record');@_return_py5graphics,method,output,files,JAVA,
end_record,endRecord,,method,output,files,JAVA,
begin_raw,beginRaw,@_context_wrapper('end_raw');@_return_py5graphics,method,output,files,JAVA,
end_raw,endRaw,,method,output,files,JAVA,
begin_pgl,beginPGL,,method,,,SKIP,methods that are not part of the processing framework
end_pgl,endPGL,,method,,,SKIP,methods that are not part of the processing framework
hint,hint,,method,rendering,,JAVA,
begin_shape,beginShape,@_context_wrapper('end_shape'),method,shape,vertex,JAVA,
begin_closed_shape,beginShape,"@_context_wrapper('end_shape', exit_attr_args=('CLOSE',))",method,shape,vertex,JAVA,
edge,edge,,method,,,SKIP,
attrib_position,attribPosition,,method,,,SKIP,methods that are not part of the processing framework
attrib_normal,attribNormal,,method,,,SKIP,methods that are not part of the processing framework
attrib_color,attribColor,,method,,,SKIP,methods that are not part of the processing framework
attrib,attrib,,method,,,SKIP,methods that are not part of the processing framework
texture_mode,textureMode,,method,image,textures,JAVA,
texture_wrap,textureWrap,,method,image,textures,JAVA,
texture,texture,@_auto_convert_to_py5image(0),method,image,textures,JAVA,
no_texture,noTexture,,method,image,textures,SKIP,
vertex,vertex,,method,shape,vertex,JAVA,
begin_contour,beginContour,@_context_wrapper('end_contour'),method,shape,vertex,JAVA,
end_contour,endContour,,method,shape,vertex,JAVA,
end_shape,endShape,,method,shape,vertex,JAVA,
load_shape,loadShape,@_load_py5shape,method,shape,,JAVA,
create_shape,createShape,@_return_py5shape,method,shape,,JAVA,
convert_shape,,,method,shape,,PYTHON,
convert_cached_shape,,,method,shape,,PYTHON,
load_shader,loadShader,@_load_py5shader,method,rendering,shaders,JAVA,
shader,shader,,method,rendering,shaders,JAVA,
reset_shader,resetShader,,method,rendering,shaders,JAVA,
clip,clip,,method,rendering,,JAVA,
no_clip,noClip,,method,rendering,,JAVA,
blend_mode,blendMode,,method,rendering,,JAVA,
bezier_vertex,bezierVertex,,method,shape,vertex,JAVA,
quadratic_vertex,quadraticVertex,,method,shape,vertex,JAVA,
curve_vertex,curveVertex,,method,shape,vertex,JAVA,
point,point,,method,shape,2d_primitives,JAVA,
triangle,triangle,,method,shape,2d_primitives,JAVA,
quad,quad,,method,shape,2d_primitives,JAVA,
rect_mode,rectMode,,method,shape,attributes,JAVA,
rect,rect,,method,shape,2d_primitives,JAVA,
square,square,,method,shape,2d_primitives,JAVA,
ellipse_mode,ellipseMode,,method,shape,attributes,JAVA,
ellipse,ellipse,,method,shape,2d_primitives,JAVA,
arc,arc,,method,shape,2d_primitives,JAVA,
circle,circle,,method,shape,2d_primitives,JAVA,
sphere_detail,sphereDetail,,method,shape,3d_primitives,JAVA,
sphere,sphere,,method,shape,3d_primitives,JAVA,
bezier_point,bezierPoint,,method,shape,curves,JAVA,
bezier_tangent,bezierTangent,,method,shape,curves,JAVA,
bezier_detail,bezierDetail,,method,shape,curves,JAVA,
bezier,bezier,,method,shape,curves,JAVA,
curve_point,curvePoint,,method,shape,curves,JAVA,
curve_tangent,curveTangent,,method,shape,curves,JAVA,
curve_detail,curveDetail,,method,shape,curves,JAVA,
curve_tightness,curveTightness,,method,shape,curves,JAVA,
curve,curve,,method,shape,curves,JAVA,
image_mode,imageMode,,method,image,loading_displaying,JAVA,
shape_mode,shapeMode,,method,shape,loading_displaying,JAVA,
shape,shape,@_auto_convert_to_py5shape,method,shape,loading_displaying,JAVA,
text_align,textAlign,,method,typography,attributes,JAVA,
text_ascent,textAscent,,method,typography,metrics,JAVA,
text_descent,textDescent,,method,typography,metrics,JAVA,
text_font,textFont,,method,typography,loading_displaying,JAVA,
text_leading,textLeading,,method,typography,attributes,JAVA,
text_mode,textMode,,method,typography,attributes,JAVA,
text_size,textSize,,method,typography,attributes,JAVA,
text_width,textWidth,@_text_fix_str,method,typography,attributes,JAVA,
push_matrix,pushMatrix,@_context_wrapper('pop_matrix'),method,transform,,JAVA,
pop_matrix,popMatrix,,method,transform,,JAVA,
translate,translate,,method,transform,,JAVA,
rotate_x,rotateX,,method,transform,,JAVA,
rotate_y,rotateY,,method,transform,,JAVA,
rotate_z,rotateZ,,method,transform,,JAVA,
shear_x,shearX,,method,transform,,JAVA,
shear_y,shearY,,method,transform,,JAVA,
reset_matrix,resetMatrix,,method,transform,,JAVA,
apply_matrix,applyMatrix,,method,transform,,JAVA,this and all of the matrix functions need to be re-implemented using numpy
get_matrix,getMatrix,@ _get_matrix_wrapper,method,transform,,JAVA,this and all of the matrix functions need to be re-implemented using numpy
set_matrix,setMatrix,,method,transform,,JAVA,this and all of the matrix functions need to be re-implemented using numpy
print_matrix,printMatrix,,method,transform,,JAVA,
begin_camera,beginCamera,@_context_wrapper('end_camera'),method,lights_camera,camera,JAVA,
end_camera,endCamera,,method,lights_camera,camera,JAVA,
camera,camera,,method,lights_camera,camera,JAVA,
print_camera,printCamera,,method,lights_camera,camera,JAVA,
ortho,ortho,,method,lights_camera,camera,JAVA,
perspective,perspective,,method,lights_camera,camera,JAVA,
frustum,frustum,,method,lights_camera,camera,JAVA,
print_projection,printProjection,,method,lights_camera,camera,JAVA,
screen_x,screenX,,method,lights_camera,coordinates,JAVA,
screen_y,screenY,,method,lights_camera,coordinates,JAVA,
screen_z,screenZ,,method,lights_camera,coordinates,JAVA,
model_x,modelX,,method,lights_camera,coordinates,JAVA,
model_y,modelY,,method,lights_camera,coordinates,JAVA,
model_z,modelZ,,method,lights_camera,coordinates,JAVA,
push_style,pushStyle,@_context_wrapper('pop_style'),method,structure,,JAVA,
pop_style,popStyle,,method,structure,,JAVA,
style,style,,method,,,SKIP,public methods that shouldn't be available to users
stroke_weight,strokeWeight,,method,shape,attributes,JAVA,
stroke_join,strokeJoin,,method,shape,attributes,JAVA,
stroke_cap,strokeCap,,method,shape,attributes,JAVA,
no_stroke,noStroke,,method,color,setting,JAVA,
stroke,stroke,@_convert_hex_color(),method,color,setting,JAVA,
no_tint,noTint,,method,image,loading_displaying,JAVA,
tint,tint,@_convert_hex_color(),method,image,loading_displaying,JAVA,
no_fill,noFill,,method,color,setting,JAVA,
ambient,ambient,@_convert_hex_color(),method,lights_camera,material_properties,JAVA,
specular,specular,@_convert_hex_color(),method,lights_camera,material_properties,JAVA,
shininess,shininess,,method,lights_camera,material_properties,JAVA,
emissive,emissive,@_convert_hex_color(),method,lights_camera,material_properties,JAVA,
lights,lights,,method,lights_camera,lights,JAVA,
no_lights,noLights,,method,lights_camera,lights,JAVA,
ambient_light,ambientLight,,method,lights_camera,lights,JAVA,
directional_light,directionalLight,,method,lights_camera,lights,JAVA,
point_light,pointLight,,method,lights_camera,lights,JAVA,
spot_light,spotLight,,method,lights_camera,lights,JAVA,
light_falloff,lightFalloff,,method,lights_camera,lights,JAVA,
light_specular,lightSpecular,,method,lights_camera,lights,JAVA,
background,background,@_auto_convert_to_py5image(0);@_convert_hex_color(),method,color,setting,JAVA,
color_mode,colorMode,,method,color,setting,PYTHON,
green,green,@_convert_hex_color(),method,color,creating_reading,JAVA,
blue,blue,@_convert_hex_color(),method,color,creating_reading,JAVA,
hue,hue,@_convert_hex_color(),method,color,creating_reading,JAVA,
saturation,saturation,@_convert_hex_color(),method,color,creating_reading,JAVA,
brightness,brightness,@_convert_hex_color(),method,color,creating_reading,JAVA,
show_depth_warning,showDepthWarning,,static method,,,SKIP,public methods that shouldn't be available to users
show_depth_warning_xyz,showDepthWarningXYZ,,static method,,,SKIP,public methods that shouldn't be available to users
show_method_warning,showMethodWarning,,static method,,,SKIP,public methods that shouldn't be available to users
show_variation_warning,showVariationWarning,,static method,,,SKIP,public methods that shouldn't be available to users
show_missing_warning,showMissingWarning,,static method,,,SKIP,public methods that shouldn't be available to users
check_alpha,checkAlpha,,method,,,SKIP,
blend,blend,@_auto_convert_to_py5image(0),method,image,pixels,JAVA,
cursor,cursor,@_auto_convert_to_py5image(0),method,environment,,JAVA,
get_extension,getExtension,,static method,,,SKIP,public methods that shouldn't be available to users
list_files,listFiles,,method,,,SKIP,public methods that shouldn't be available to users
normal,normal,,method,lights_camera,lights,JAVA,
month,month,,static method,input,time_date,JAVA,
day,day,,static method,input,time_date,JAVA,
hour,hour,,static method,input,time_date,JAVA,
minute,minute,,static method,input,time_date,JAVA,
year,year,,static method,input,time_date,JAVA,
red,red,@_convert_hex_color(),method,color,creating_reading,JAVA,
set_size,setSize,,method,,,SKIP,public methods that shouldn't be available to users
window_x,windowX,,dynamic variable,environment,,JAVA,
window_y,windowY,,dynamic variable,environment,,JAVA,
window_move,windowMove,,method,environment,,JAVA,
window_resizable,windowResizable,,method,environment,,JAVA,
window_resize,windowResize,,method,environment,,JAVA,
window_title,windowTitle,,method,environment,,JAVA,
post_window_moved,postWindowMoved,,method,environment,,SKIP,public internal methods that shouldn't be available to users
post_window_resized,postWindowResized,,method,environment,,SKIP,public internal methods that shouldn't be available to users
last_window_x,lastWindowX,,dynamic variable,,,SKIP,used to store the last window location so it can reopen in the same location
last_window_y,lastWindowY,,dynamic variable,,,SKIP,used to store the last window location so it can reopen in the same location
window_moved,windowMoved,,method,,,SKIP,method implemented by user
window_resized,windowResized,,method,,,SKIP,method implemented by user
push,push,@_context_wrapper('pop'),method,structure,,JAVA,
pop,pop,,method,structure,,JAVA,
link,link,,method,,,SKIP,public methods that shouldn't be available to users
build_py5_bridge,buildPy5Bridge,,method,,,SKIP,public methods that shouldn't be available to users
get_frame_rate,getFrameRate,,method,environment,,JAVA,this replaces the frame_rate variable which conflicts with the frame_rate function
is_key_pressed,,,dynamic variable,input,keyboard,PYTHON,this replaces the key_pressed variable which conflicts with the key_pressed function.
is_mouse_pressed,,,dynamic variable,input,mouse,PYTHON,this replaces the mouse_pressed variable which conflicts with the mouse_pressed function.
is_key_pressed_function,isKeyPressed,,method,,,SKIP,used by the is_key_pressed property
is_mouse_pressed_function,isMousePressed,,method,,,SKIP,used by the is_mouse_pressed_property
load_np_pixels,,,method,image,pixels,PYTHON,like loadPixels but for np_pixels; implemented in pixels.py mixin
update_np_pixels,,,method,image,pixels,PYTHON,like updatePixels but for np_pixels; implemented in the pixels.py mixin
set_np_pixels,,,method,image,pixels,PYTHON,replaces data in the np_pixels array; implemented in the pixels.py mixin
get_np_pixels,,,method,image,pixels,PYTHON,gets data in the np_pixels array; implemented in the pixels.py mixin
to_pil,,,method,image,pixels,PYTHON,implemented in the pixels.py mixin
np_pixels,,,dynamic variable,image,pixels,PYTHON,numpy array containing pixel data
load_json,,,static method,input,files,PYTHON,implemented in mixin file data.py
save_json,,,static method,input,files,PYTHON,implemented in mixin file data.py
parse_json,,,static method,input,files,PYTHON,implemented in mixin file data.py
hot_reload_draw,,,method,structure,,PYTHON,"implemented in sketch.py, replaces draw method"
profile_functions,,,method,structure,,PYTHON,"implemented in sketch.py, use line profiler"
profile_draw,,,method,structure,,PYTHON,"implemented in sketch.py, use line profiler on draw method"
print_line_profiler_stats,,,method,structure,,PYTHON,"implemented in sketch.py, print line profiler stats"
exiting,,,method,,,SKIP,method implemented by user
launch_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
launch_promise_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
launch_repeating_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
has_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
join_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
stop_thread,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
stop_all_threads,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
list_threads,,,method,structure,threading,PYTHON,implemented in mixin file threads.py
HIDDEN,HIDDEN,,static field,,,JAVA,hidden version of default renderer
points,points,@_generator_to_list,method,shape,2d_primitives,JAVA,implemented by me in Py5GraphicsHelper
lines,lines,@_generator_to_list,method,shape,2d_primitives,JAVA,implemented by me in Py5GraphicsHelper
vertices,vertices,@_generator_to_list,method,shape,vertex,JAVA,implemented by me in Py5GraphicsHelper
bezier_vertices,bezierVertices,@_generator_to_list,method,shape,vertex,JAVA,implemented by me in Py5GraphicsHelper
curve_vertices,curveVertices,@_generator_to_list,method,shape,vertex,JAVA,implemented by me in Py5GraphicsHelper
quadratic_vertices,quadraticVertices,@_generator_to_list,method,shape,vertex,JAVA,implemented by me in Py5GraphicsHelper
is_ready,,,dynamic variable,structure,,PYTHON,property to determine sketch state
is_running,,,dynamic variable,structure,,PYTHON,property to determine sketch state
is_dead,,,dynamic variable,structure,,PYTHON,property to determine sketch state
is_dead_from_error,,,dynamic variable,structure,,PYTHON,property to determine sketch state
get_success,getSuccess,,method,,,SKIP,used to determine if sketch had an error
set_success,setSuccess,,method,,,SKIP,used to set if sketch had an error
call_python,callPython,,method,,,SKIP,use for bridge to Python in java mode
py5_println,py5Println,,method,,,SKIP,"special print method for Java extensions to use py5's println method, which works well with Jupyter Notebooks"
set_py5_icon_path,setPy5IconPath,,method,,,SKIP,used to set the path to the py5 window and taskbar icon
get_renderer_name,getRendererName,,method,,,SKIP,used to map the renderer classpath to a user friendly name
set_jogl_properties,setJOGLProperties,,method,,,SKIP,used to set the java.library.path so OpenGL can find the native libraries
window_ratio,windowRatio,,method,environment,,JAVA,New in Processing 4.0b7
ratio_left,ratioLeft,,dynamic variable,environment,,JAVA,New in Processing 4.0b7
ratio_scale,ratioScale,,dynamic variable,environment,,JAVA,New in Processing 4.0b7
ratio_top,ratioTop,,dynamic variable,environment,,JAVA,New in Processing 4.0b7
rheight,rheight,,dynamic variable,environment,,JAVA,New in Processing 4.0b7
rmouse_x,rmouseX,,dynamic variable,input,mouse,JAVA,New in Processing 4.0b7
rmouse_y,rmouseY,,dynamic variable,input,mouse,JAVA,New in Processing 4.0b7
rwidth,rwidth,,dynamic variable,environment,,JAVA,New in Processing 4.0b7
fake_mouse_event,fakeMouseEvent,,method,,,SKIP,Used to fake mouse events
fake_key_event,fakeKeyEvent,,method,,,SKIP,Used to fake key events
hex_color,,,method,color,creating_reading,PYTHON,convert Processing color ints to something more readable